id,title,title_en,chapters,publishing,published_from,published_to,score,scored_by,members,favorites,Action,Adventure,Avant_Garde,Award_Winning,Boys_Love,Comedy,Drama,Fantasy,Girls_Love,Gourmet,Horror,Mystery,Romance,Sci_Fi,Slice_of_Life,Sports,Supernatural,Suspense,Ecchi,Erotica,Josei,Kids,Seinen,Shoujo,Shounen
1,Monster,Monster,162,FALSE,12/5/1994,12/20/2001,9.14,83708,214367,18710,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Berserk,Berserk,0,TRUE,8/25/1989,,9.47,299323,607170,113562,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,20th Century Boys,20th Century Boys,249,FALSE,9/27/1999,4/24/2006,8.95,75431,219385,17375,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
4,Yokohama Kaidashi Kikou,Yokohama Kaidashi Kikou,142,FALSE,4/25/1994,2/25/2006,8.68,16946,67265,4769,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
7,Hajime no Ippo,,0,TRUE,9/27/1989,,8.7,32838,76329,6087,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8,Full Moon wo Sagashite,Full Moon wo Sagashite,35,FALSE,12/1/2001,4/30/2004,8.04,18184,35811,1874,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
9,Tsubasa: RESERVoir CHRoNiCLE,Tsubasa: RESERVoir CHRoNiCLE,233,FALSE,5/21/2003,10/7/2009,8.3,36065,76400,6122,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,xxxHOLiC,xxxHOLiC,213,FALSE,2/24/2003,2/9/2011,8.38,31140,78307,4884,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
11,Naruto,Naruto,700,FALSE,9/21/1999,11/10/2014,8.07,259685,393962,42815,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,Bleach,Bleach,705,FALSE,8/7/2001,8/22/2016,7.82,218591,355861,33741,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,One Piece,One Piece,0,TRUE,7/22/1997,,9.21,336030,548929,107065,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,Rave,Rave Master,298,FALSE,7/7/1999,7/27/2005,7.85,22796,48214,2064,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,Mahou Sensei Negima!,Negima! Magister Negi Magi,355,FALSE,2/26/2003,3/14/2012,7.94,34731,71830,5017,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
16,Love Hina,Love Hina,120,FALSE,10/21/1998,10/31/2001,7.8,35641,65454,3900,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
17,Kareshi Kanojo no Jijou,Kare Kano: His and Her Circumstances,108,FALSE,12/22/1995,5/10/2005,8.16,13782,36660,1593,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,Kodomo no Omocha,Kodocha: Sana's Stage,54,FALSE,7/2/1994,10/3/1998,8.3,9948,20907,1123,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
19,GetBackers,GetBackers,344,FALSE,3/24/1999,2/21/2007,7.62,5381,13994,397,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
20,Hikaru no Go,Hikaru no Go,198,FALSE,12/8/1998,7/14/2003,8.12,21572,43587,1917,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
21,Death Note,Death Note,108,FALSE,12/1/2003,5/15/2006,8.7,213882,370779,30874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
22,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin: Meiji Swordsman Romantic Story,259,FALSE,4/12/1994,9/21/1999,8.56,45213,91867,7006,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,Ranma ½,Ranma 1/2,407,FALSE,8/5/1987,2/21/1996,7.99,23759,47638,2866,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
24,D.Gray-man,D.Gray-man,0,TRUE,5/31/2004,,8.29,60903,149364,12190,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,Fullmetal Alchemist,Fullmetal Alchemist,116,FALSE,7/12/2001,9/11/2010,9.04,149431,276453,29187,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,Hunter x Hunter,Hunter x Hunter,0,TRUE,3/3/1998,,8.72,114132,247628,21929,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,X,X,158,FALSE,3/24/1992,3/24/2003,8.11,8065,23241,974,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
28,Nana,Nana,84,FALSE,5/26/2000,5/26/2009,8.78,38813,121696,10276,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
29,Paradise Kiss,Paradise Kiss,48,FALSE,3/23/1999,3/22/2003,8.29,19365,46742,2346,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
30,Ouran Koukou Host Club,Ouran High School Host Club,87,FALSE,7/24/2002,9/24/2010,8.5,57690,121671,7884,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
31,Lovely★Complex,Love★Com,68,FALSE,8/13/2001,8/13/2007,8.34,26340,59546,2690,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
32,666 Satan,O-Parts Hunter,78,FALSE,8/11/2001,12/12/2007,7.45,16247,33559,1034,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
33,Pita-Ten,Pita-Ten,47,FALSE,8/27/1999,6/27/2003,7.35,3953,7793,278,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
34,Di Gi Charat: Koushiki Comic Anthology,Di Gi Charat,72,FALSE,7/1/1998,3/1/2000,6.5,637,1582,17,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
35,Kamichama Karin,Kamichama Karin,32,FALSE,11/2/2002,4/3/2008,7.5,5816,11855,300,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
